C1	40.01	15.24	0.00	0.1uF	C0603K
IC1	40.01	8.89	270.00		SOIC14
JP1	7.81	7.81	45.00	USBPCB	USB-A-PCB
LED1	49.53	46.99	270.00		CHIPLED_0805
LED10	54.61	41.91	270.00		CHIPLED_0805
LED11	59.69	41.91	270.00		CHIPLED_0805
LED12	64.77	41.91	270.00		CHIPLED_0805
LED13	69.85	41.91	270.00		CHIPLED_0805
LED14	74.93	41.91	270.00		CHIPLED_0805
LED15	80.01	41.91	270.00		CHIPLED_0805
LED16	85.09	41.91	270.00		CHIPLED_0805
LED17	49.53	36.83	270.00		CHIPLED_0805
LED18	54.61	36.83	270.00		CHIPLED_0805
LED19	59.69	36.83	270.00		CHIPLED_0805
LED2	54.61	46.99	270.00		CHIPLED_0805
LED20	64.77	36.83	270.00		CHIPLED_0805
LED21	69.85	36.83	270.00		CHIPLED_0805
LED22	74.93	36.83	270.00		CHIPLED_0805
LED23	80.01	36.83	270.00		CHIPLED_0805
LED24	85.09	36.83	270.00		CHIPLED_0805
LED25	49.53	31.75	270.00		CHIPLED_0805
LED26	54.61	31.75	270.00		CHIPLED_0805
LED27	59.69	31.75	270.00		CHIPLED_0805
LED28	64.77	31.75	270.00		CHIPLED_0805
LED29	69.85	31.75	270.00		CHIPLED_0805
LED3	59.69	46.99	270.00		CHIPLED_0805
LED30	74.93	31.75	270.00		CHIPLED_0805
LED31	80.01	31.75	270.00		CHIPLED_0805
LED32	85.09	31.75	270.00		CHIPLED_0805
LED33	49.53	26.67	270.00		CHIPLED_0805
LED34	54.61	26.67	270.00		CHIPLED_0805
LED35	59.69	26.67	270.00		CHIPLED_0805
LED36	64.77	26.67	270.00		CHIPLED_0805
LED37	69.85	26.67	270.00		CHIPLED_0805
LED38	74.93	26.67	270.00		CHIPLED_0805
LED39	80.01	26.67	270.00		CHIPLED_0805
LED4	64.77	46.99	270.00		CHIPLED_0805
LED40	85.09	26.67	270.00		CHIPLED_0805
LED41	49.53	21.59	270.00		CHIPLED_0805
LED42	54.61	21.59	270.00		CHIPLED_0805
LED43	59.69	21.59	270.00		CHIPLED_0805
LED44	64.77	21.59	270.00		CHIPLED_0805
LED45	69.85	21.59	270.00		CHIPLED_0805
LED46	74.93	21.59	270.00		CHIPLED_0805
LED47	80.01	21.59	270.00		CHIPLED_0805
LED48	85.09	21.59	270.00		CHIPLED_0805
LED49	49.53	16.51	270.00		CHIPLED_0805
LED5	69.85	46.99	270.00		CHIPLED_0805
LED50	54.61	16.51	270.00		CHIPLED_0805
LED51	59.69	16.51	270.00		CHIPLED_0805
LED52	64.77	16.51	270.00		CHIPLED_0805
LED53	69.85	16.51	270.00		CHIPLED_0805
LED54	74.93	16.51	270.00		CHIPLED_0805
LED55	80.01	16.51	270.00		CHIPLED_0805
LED56	85.09	16.51	270.00		CHIPLED_0805
LED6	74.93	46.99	270.00		CHIPLED_0805
LED7	80.01	46.99	270.00		CHIPLED_0805
LED8	85.09	46.99	270.00		CHIPLED_0805
LED9	49.53	41.91	270.00		CHIPLED_0805
R1	34.29	12.07	90.00	10K	R0603
R2	48.90	12.70	90.00	150	R0603
R3	53.98	12.70	90.00	150	R0603
R4	59.05	12.70	90.00	150	R0603
R5	64.14	12.70	90.00	150	R0603
R6	69.22	12.70	90.00	150	R0603
R7	74.30	12.70	90.00	150	R0603
R8	79.38	12.70	90.00	150	R0603
R9	84.45	12.70	90.00	150	R0603
SW1	33.66	6.99	270.00	SPST_TACT-KMR2	KMR2
